SPO_13,OVP_13,FPO_13,BZO_13,GRUNE_13,FRANK_13,NEOS_13,SONST_13,NW_13,SPO_17,OVP_17,FPO_17,GRUNE_17,NEOS_17,PILZ_17,SONST_17,NW_17
893,584,370,65,161,103,73,30,871,783,693,553,46,85,71,43,882
284,504,158,35,86,42,35,12,447,269,539,271,23,56,31,15,418
141,400,141,30,36,36,18,10,234,130,418,241,13,28,12,9,218
281,511,239,35,75,52,36,8,516,289,501,295,26,54,41,15,530
193,653,241,31,117,52,26,19,466,201,692,334,41,60,33,27,420
223,309,182,23,78,40,45,13,318,241,374,292,27,58,37,16,286
164,603,191,35,83,58,36,9,381,164,653,298,13,41,20,16,396
325,1210,291,37,177,94,65,23,734,331,1176,495,67,84,59,43,612
161,480,218,38,98,40,26,12,383,145,546,332,21,41,32,19,345
258,387,317,53,115,76,83,25,544,289,489,398,28,80,76,38,573
247,439,238,29,82,52,34,18,440,214,462,325,15,36,72,24,392
1753,1208,1152,166,885,310,406,98,2562,1855,1873,1497,206,397,377,140,2349
2660,3192,1957,410,1805,798,1146,238,6730,3164,4676,2594,618,1045,813,260,5870
1575,676,1016,99,374,251,194,97,2218,1545,991,1407,105,215,207,101,1910
1649,737,1345,162,498,592,217,79,2402,1660,1465,1990,124,264,237,115,2147
799,415,511,75,197,124,128,32,910,723,623,773,40,114,113,53,830
67,242,91,11,30,30,19,6,156,65,274,131,11,14,22,18,140
372,141,256,27,53,59,30,13,367,326,218,357,9,32,36,9,328
138,242,160,20,102,53,53,9,304,138,321,214,33,52,47,15,283
219,415,146,31,64,49,40,17,248,207,456,225,18,52,49,18,226
512,116,336,25,73,62,42,26,495,422,242,407,31,47,37,25,440
248,206,224,24,67,46,47,11,379,196,290,318,7,47,51,24,381
1314,595,952,120,388,288,178,82,1740,1288,1057,1202,89,221,199,96,1507
778,468,626,66,216,151,108,46,1014,776,714,824,49,139,120,56,895
403,143,311,27,65,64,30,12,550,421,259,537,16,41,35,28,524
615,425,406,56,208,255,141,36,937,647,801,590,59,115,104,57,897
416,550,314,47,326,84,172,33,661,533,646,421,74,136,133,37,637
1203,579,928,84,240,225,96,64,1616,1105,964,1253,75,141,142,78,1418
521,332,312,33,152,94,56,30,673,502,408,429,53,81,49,36,592
408,188,200,21,36,75,31,9,285,271,294,339,11,43,23,12,283
380,232,264,28,108,71,36,13,484,380,310,337,22,55,54,32,411
192,285,205,20,43,65,32,11,285,198,358,302,12,35,26,13,240
118,176,103,30,66,50,38,6,221,125,243,129,20,32,34,14,203
243,191,176,21,71,48,29,9,245,212,298,226,14,35,41,8,246
434,202,181,19,79,53,34,17,300,403,308,253,11,57,61,22,291
3325,1246,2275,327,841,623,481,178,3444,3479,2261,3027,203,505,416,220,3170
803,218,445,47,154,112,82,29,643,823,392,577,34,96,69,36,569
319,216,209,34,77,59,36,12,352,278,278,290,16,53,45,45,299
297,118,294,35,75,63,33,21,412,249,212,395,10,48,32,27,420
111,200,160,14,28,43,13,9,201,93,247,227,4,11,10,5,174
232,163,211,60,42,36,19,10,356,200,266,313,12,20,33,12,338
173,122,81,5,10,12,2,1,113,128,145,90,5,8,11,2,108
1469,806,850,85,385,197,174,56,1954,1427,1083,1236,134,139,167,62,1637
